proteinIDA,proteinIDB,interfaceA,interfaceB,clusterIDA,clusterIDB,entryID
7XQP-1-O-14-8769,7XQP-1-c-20-12746,/data4/hfxie/Dataset/Interfaces/7XQP/1/O-c-O,/data4/hfxie/Dataset/Interfaces/7XQP/1/O-c-c,8769,12746,7XQP
6KAD-1-7-1-12746,6KAD-1-r-17-5111,/data4/hfxie/Dataset/Interfaces/6KAD/1/7-r-7,/data4/hfxie/Dataset/Interfaces/6KAD/1/7-r-r,12746,5111,6KAD
7PIN-1-W1-17-2762,7PIN-1-Y1-24-12746,/data4/hfxie/Dataset/Interfaces/7PIN/1/W1-Y1-W1,/data4/hfxie/Dataset/Interfaces/7PIN/1/W1-Y1-Y1,2762,12746,7PIN
8BD3-1-w-22-1832,8BD3-1-y-24-12746,/data4/hfxie/Dataset/Interfaces/8BD3/1/w-y-w,/data4/hfxie/Dataset/Interfaces/8BD3/1/w-y-y,1832,12746,8BD3
8BD3-1-a-5-2513,8BD3-1-f1-29-5025,/data4/hfxie/Dataset/Interfaces/8BD3/1/a-f1-a,/data4/hfxie/Dataset/Interfaces/8BD3/1/a-f1-f1,2513,5025,8BD3
7PI5-1-c-4-1252,7PI5-1-p-15-5025,/data4/hfxie/Dataset/Interfaces/7PI5/1/c-p-c,/data4/hfxie/Dataset/Interfaces/7PI5/1/c-p-p,1252,5025,7PI5
9HEI-1-P-15-5025,9HEI-1-Q-16-3603,/data4/hfxie/Dataset/Interfaces/9HEI/1/P-Q-P,/data4/hfxie/Dataset/Interfaces/9HEI/1/P-Q-Q,5025,3603,9HEI
9IS4-1-C-4-1252,9IS4-1-W-19-2762,/data4/hfxie/Dataset/Interfaces/9IS4/1/C-W-C,/data4/hfxie/Dataset/Interfaces/9IS4/1/C-W-W,1252,2762,9IS4
7PIN-1-a1-1-2513,7PIN-1-w1-17-2762,/data4/hfxie/Dataset/Interfaces/7PIN/1/a1-w1-a1,/data4/hfxie/Dataset/Interfaces/7PIN/1/a1-w1-w1,2513,2762,7PIN
9MEY-2-C-1-8277,9MEY-2-D-2-8899,/data4/hfxie/Dataset/Interfaces/9MEY/2/C-D-C,/data4/hfxie/Dataset/Interfaces/9MEY/2/C-D-D,8277,8899,9MEY
9MF0-1-A-1-227,9MF0-1-B-2-8899,/data4/hfxie/Dataset/Interfaces/9MF0/1/A-B-A,/data4/hfxie/Dataset/Interfaces/9MF0/1/A-B-B,227,8899,9MF0
3GCW-1-P-1-1314,3GCW-1-A-2-10039,/data4/hfxie/Dataset/Interfaces/3GCW/1/P-A-P,/data4/hfxie/Dataset/Interfaces/3GCW/1/P-A-A,1314,10039,3GCW
2QTW-1-A-1-3323,2QTW-1-B-2-10039,/data4/hfxie/Dataset/Interfaces/2QTW/1/A-B-A,/data4/hfxie/Dataset/Interfaces/2QTW/1/A-B-B,3323,10039,2QTW
3H42-1-B-2-10039,3H42-1-H-4-7300,/data4/hfxie/Dataset/Interfaces/3H42/1/B-H-B,/data4/hfxie/Dataset/Interfaces/3H42/1/B-H-H,10039,7300,3H42
3H42-1-B-2-10039,3H42-1-L-3-2582,/data4/hfxie/Dataset/Interfaces/3H42/1/B-L-B,/data4/hfxie/Dataset/Interfaces/3H42/1/B-L-L,10039,2582,3H42
3P5B-1-A-2-10039,3P5B-1-L-3-3708,/data4/hfxie/Dataset/Interfaces/3P5B/1/A-L-A,/data4/hfxie/Dataset/Interfaces/3P5B/1/A-L-L,10039,3708,3P5B
9K9W-1-u7-8-11342,9K9W-1-v7-1-2669,/data4/hfxie/Dataset/Interfaces/9K9W/1/u7-v7-u7,/data4/hfxie/Dataset/Interfaces/9K9W/1/u7-v7-v7,11342,2669,9K9W
9M3J-1-S2-1-11342,9M3J-1-w2-4-10875,/data4/hfxie/Dataset/Interfaces/9M3J/1/S2-w2-S2,/data4/hfxie/Dataset/Interfaces/9M3J/1/S2-w2-w2,11342,10875,9M3J
7SCC-1-BF-1-11342,7SCC-1-BP-5-5786,/data4/hfxie/Dataset/Interfaces/7SCC/1/BF-BP-BF,/data4/hfxie/Dataset/Interfaces/7SCC/1/BF-BP-BP,11342,5786,7SCC
7EYD-1-19-10-7305,7EYD-1-k9-7-11342,/data4/hfxie/Dataset/Interfaces/7EYD/1/19-k9-19,/data4/hfxie/Dataset/Interfaces/7EYD/1/19-k9-k9,7305,11342,7EYD
7VEA-1-aQ-1-11342,7VEA-1-aR-4-6239,/data4/hfxie/Dataset/Interfaces/7VEA/1/aQ-aR-aQ,/data4/hfxie/Dataset/Interfaces/7VEA/1/aQ-aR-aR,11342,6239,7VEA
7SCB-1-AC-1-11342,7SCB-1-BE-6-19,/data4/hfxie/Dataset/Interfaces/7SCB/1/AC-BE-AC,/data4/hfxie/Dataset/Interfaces/7SCB/1/AC-BE-BE,11342,19,7SCB
7SCB-1-AE-3-9412,7SCB-1-AJ-1-11342,/data4/hfxie/Dataset/Interfaces/7SCB/1/AE-AJ-AE,/data4/hfxie/Dataset/Interfaces/7SCB/1/AE-AJ-AJ,9412,11342,7SCB
8IMK-1-E-2-10131,8IMK-1-F-3-11342,/data4/hfxie/Dataset/Interfaces/8IMK/1/E-F-E,/data4/hfxie/Dataset/Interfaces/8IMK/1/E-F-F,10131,11342,8IMK
8IMK-1-2-1-6821,8IMK-1-d-3-11342,/data4/hfxie/Dataset/Interfaces/8IMK/1/2-d-2,/data4/hfxie/Dataset/Interfaces/8IMK/1/2-d-d,6821,11342,8IMK
7Y4L-1-JE-9-2641,7Y4L-1-P3-19-11342,/data4/hfxie/Dataset/Interfaces/7Y4L/1/JE-P3-JE,/data4/hfxie/Dataset/Interfaces/7Y4L/1/JE-P3-P3,2641,11342,7Y4L
7Y4L-1-T3-19-11342,7Y4L-1-K6-8-333,/data4/hfxie/Dataset/Interfaces/7Y4L/1/T3-K6-T3,/data4/hfxie/Dataset/Interfaces/7Y4L/1/T3-K6-K6,11342,333,7Y4L
7Y4L-1-p3-19-11342,7Y4L-1-z8-28-3180,/data4/hfxie/Dataset/Interfaces/7Y4L/1/p3-z8-p3,/data4/hfxie/Dataset/Interfaces/7Y4L/1/p3-z8-z8,11342,3180,7Y4L
7Y4L-1-K3-19-11342,7Y4L-1-bH-25-9659,/data4/hfxie/Dataset/Interfaces/7Y4L/1/K3-bH-K3,/data4/hfxie/Dataset/Interfaces/7Y4L/1/K3-bH-bH,11342,9659,7Y4L
7Y4L-1-B2-7-3712,7Y4L-1-J3-19-11342,/data4/hfxie/Dataset/Interfaces/7Y4L/1/B2-J3-B2,/data4/hfxie/Dataset/Interfaces/7Y4L/1/B2-J3-J3,3712,11342,7Y4L
7Y4L-1-SF-3-2032,7Y4L-1-P3-19-11342,/data4/hfxie/Dataset/Interfaces/7Y4L/1/SF-P3-SF,/data4/hfxie/Dataset/Interfaces/7Y4L/1/SF-P3-P3,2032,11342,7Y4L
7Y4L-1-43-18-5803,7Y4L-1-m3-19-11342,/data4/hfxie/Dataset/Interfaces/7Y4L/1/43-m3-43,/data4/hfxie/Dataset/Interfaces/7Y4L/1/43-m3-m3,5803,11342,7Y4L
6KGX-1-vH-17-11342,6KGX-1-3H-24-7419,/data4/hfxie/Dataset/Interfaces/6KGX/1/vH-3H-vH,/data4/hfxie/Dataset/Interfaces/6KGX/1/vH-3H-3H,11342,7419,6KGX
7Y4L-1-N3-19-11342,7Y4L-1-X3-23-1680,/data4/hfxie/Dataset/Interfaces/7Y4L/1/N3-X3-N3,/data4/hfxie/Dataset/Interfaces/7Y4L/1/N3-X3-X3,11342,1680,7Y4L
7Y4L-1-i3-19-11342,7Y4L-1-y3-22-1970,/data4/hfxie/Dataset/Interfaces/7Y4L/1/i3-y3-i3,/data4/hfxie/Dataset/Interfaces/7Y4L/1/i3-y3-y3,11342,1970,7Y4L
5Y6P-1-f1-4-11342,5Y6P-1-m1-7-6780,/data4/hfxie/Dataset/Interfaces/5Y6P/1/f1-m1-f1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/f1-m1-m1,11342,6780,5Y6P
6KGX-1-rH-17-11342,6KGX-1-2H-23-6977,/data4/hfxie/Dataset/Interfaces/6KGX/1/rH-2H-rH,/data4/hfxie/Dataset/Interfaces/6KGX/1/rH-2H-2H,11342,6977,6KGX
7EYD-1-A5-5-10254,7EYD-1-q9-7-11342,/data4/hfxie/Dataset/Interfaces/7EYD/1/A5-q9-A5,/data4/hfxie/Dataset/Interfaces/7EYD/1/A5-q9-q9,10254,11342,7EYD
7EYD-1-A1-1-8552,7EYD-1-c8-7-11342,/data4/hfxie/Dataset/Interfaces/7EYD/1/A1-c8-A1,/data4/hfxie/Dataset/Interfaces/7EYD/1/A1-c8-c8,8552,11342,7EYD
8IMI-1-0-1-10980,8IMI-1-E-2-11342,/data4/hfxie/Dataset/Interfaces/8IMI/1/0-E-0,/data4/hfxie/Dataset/Interfaces/8IMI/1/0-E-E,10980,11342,8IMI
7EXT-1-d3-7-11342,7EXT-1-A6-1-3260,/data4/hfxie/Dataset/Interfaces/7EXT/1/d3-A6-d3,/data4/hfxie/Dataset/Interfaces/7EXT/1/d3-A6-A6,11342,3260,7EXT
9M3J-1-C1-1-11342,9M3J-1-k3-5-3543,/data4/hfxie/Dataset/Interfaces/9M3J/1/C1-k3-C1,/data4/hfxie/Dataset/Interfaces/9M3J/1/C1-k3-k3,11342,3543,9M3J
9K9W-1-k7-8-11342,9K9W-1-a9-11-4758,/data4/hfxie/Dataset/Interfaces/9K9W/1/k7-a9-k7,/data4/hfxie/Dataset/Interfaces/9K9W/1/k7-a9-a9,11342,4758,9K9W
9M3J-1-K1-3-6882,9M3J-1-a3-1-11342,/data4/hfxie/Dataset/Interfaces/9M3J/1/K1-a3-K1,/data4/hfxie/Dataset/Interfaces/9M3J/1/K1-a3-a3,6882,11342,9M3J
7Y5E-1-SL-32-8381,7Y5E-1-C3-68-11342,/data4/hfxie/Dataset/Interfaces/7Y5E/1/SL-C3-SL,/data4/hfxie/Dataset/Interfaces/7Y5E/1/SL-C3-C3,8381,11342,7Y5E
5Y6P-1-F1-3-832,5Y6P-1-u1-4-11342,/data4/hfxie/Dataset/Interfaces/5Y6P/1/F1-u1-F1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/F1-u1-u1,832,11342,5Y6P
5Y6P-1-T1-4-11342,5Y6P-1-B2-13-10723,/data4/hfxie/Dataset/Interfaces/5Y6P/1/T1-B2-T1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/T1-B2-B2,11342,10723,5Y6P
5Y6P-1-P1-4-11342,5Y6P-1-Q1-6-4058,/data4/hfxie/Dataset/Interfaces/5Y6P/1/P1-Q1-P1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/P1-Q1-Q1,11342,4058,5Y6P
5Y6P-1-T1-4-11342,5Y6P-1-a2-8-11101,/data4/hfxie/Dataset/Interfaces/5Y6P/1/T1-a2-T1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/T1-a2-a2,11342,11101,5Y6P
5Y6P-1-R1-4-11342,5Y6P-1-a9-19-3024,/data4/hfxie/Dataset/Interfaces/5Y6P/1/R1-a9-R1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/R1-a9-a9,11342,3024,5Y6P
5Y6P-1-B1-1-6657,5Y6P-1-k1-4-11342,/data4/hfxie/Dataset/Interfaces/5Y6P/1/B1-k1-B1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/B1-k1-k1,6657,11342,5Y6P
5Y6P-1-D1-2-585,5Y6P-1-w1-4-11342,/data4/hfxie/Dataset/Interfaces/5Y6P/1/D1-w1-D1,/data4/hfxie/Dataset/Interfaces/5Y6P/1/D1-w1-w1,585,11342,5Y6P
9KA8-1-A-1-2097,9KA8-1-C-2-11342,/data4/hfxie/Dataset/Interfaces/9KA8/1/A-C-A,/data4/hfxie/Dataset/Interfaces/9KA8/1/A-C-C,2097,11342,9KA8
8UHE-1-D-2-2669,8UHE-1-S-7-10875,/data4/hfxie/Dataset/Interfaces/8UHE/1/D-S-D,/data4/hfxie/Dataset/Interfaces/8UHE/1/D-S-S,2669,10875,8UHE
7EYD-1-19-10-7305,7EYD-1-39-9-10875,/data4/hfxie/Dataset/Interfaces/7EYD/1/19-39-19,/data4/hfxie/Dataset/Interfaces/7EYD/1/19-39-39,7305,10875,7EYD
7EYD-1-39-9-10875,7EYD-1-m9-12-9412,/data4/hfxie/Dataset/Interfaces/7EYD/1/39-m9-39,/data4/hfxie/Dataset/Interfaces/7EYD/1/39-m9-m9,10875,9412,7EYD
7SCB-1-BB-5-10875,7SCB-1-BE-6-19,/data4/hfxie/Dataset/Interfaces/7SCB/1/BB-BE-BB,/data4/hfxie/Dataset/Interfaces/7SCB/1/BB-BE-BE,10875,19,7SCB
9M3J-1-z1-4-10875,9M3J-1-k3-5-3543,/data4/hfxie/Dataset/Interfaces/9M3J/1/z1-k3-z1,/data4/hfxie/Dataset/Interfaces/9M3J/1/z1-k3-k3,10875,3543,9M3J
9M3J-1-K1-3-6882,9M3J-1-z1-4-10875,/data4/hfxie/Dataset/Interfaces/9M3J/1/K1-z1-K1,/data4/hfxie/Dataset/Interfaces/9M3J/1/K1-z1-z1,6882,10875,9M3J
8UHE-1-K-6-5599,8UHE-1-S-7-10875,/data4/hfxie/Dataset/Interfaces/8UHE/1/K-S-K,/data4/hfxie/Dataset/Interfaces/8UHE/1/K-S-S,5599,10875,8UHE
9I1R-1-c-3-5537,9I1R-1-s-7-10875,/data4/hfxie/Dataset/Interfaces/9I1R/1/c-s-c,/data4/hfxie/Dataset/Interfaces/9I1R/1/c-s-s,5537,10875,9I1R
9I1R-1-k-6-1865,9I1R-1-s-7-10875,/data4/hfxie/Dataset/Interfaces/9I1R/1/k-s-k,/data4/hfxie/Dataset/Interfaces/9I1R/1/k-s-s,1865,10875,9I1R
7SC9-1-BY-2-2669,7SC9-1-CQ-9-5786,/data4/hfxie/Dataset/Interfaces/7SC9/1/BY-CQ-BY,/data4/hfxie/Dataset/Interfaces/7SC9/1/BY-CQ-CQ,2669,5786,7SC9
3R8B-7-M-1-12608,3R8B-7-N-2-10639,/data4/hfxie/Dataset/Interfaces/3R8B/7/M-N-M,/data4/hfxie/Dataset/Interfaces/3R8B/7/M-N-N,12608,10639,3R8B
8YBM-2-C-1-12608,8YBM-2-D-2-4425,/data4/hfxie/Dataset/Interfaces/8YBM/2/C-D-C,/data4/hfxie/Dataset/Interfaces/8YBM/2/C-D-D,12608,4425,8YBM
1JCK-1-C-1-9428,1JCK-1-D-2-12608,/data4/hfxie/Dataset/Interfaces/1JCK/1/C-D-C,/data4/hfxie/Dataset/Interfaces/1JCK/1/C-D-D,9428,12608,1JCK
1D5Z-1-A-1-7318,1D5Z-1-C-3-12608,/data4/hfxie/Dataset/Interfaces/1D5Z/1/A-C-A,/data4/hfxie/Dataset/Interfaces/1D5Z/1/A-C-C,7318,12608,1D5Z
4RGM-2-A-1-12608,4RGM-2-C-3-7300,/data4/hfxie/Dataset/Interfaces/4RGM/2/A-C-A,/data4/hfxie/Dataset/Interfaces/4RGM/2/A-C-C,12608,7300,4RGM
4RGN-2-S-1-12608,4RGN-2-G-5-11149,/data4/hfxie/Dataset/Interfaces/4RGN/2/S-G-S,/data4/hfxie/Dataset/Interfaces/4RGN/2/S-G-G,12608,11149,4RGN
4C56-2-B-2-11719,4C56-2-C-3-12608,/data4/hfxie/Dataset/Interfaces/4C56/2/B-C-B,/data4/hfxie/Dataset/Interfaces/4C56/2/B-C-C,11719,12608,4C56
8YKT-1-A-1-12608,8YKT-1-L-3-2582,/data4/hfxie/Dataset/Interfaces/8YKT/1/A-L-A,/data4/hfxie/Dataset/Interfaces/8YKT/1/A-L-L,12608,2582,8YKT
8XXH-1-R-5-8851,8XXH-1-D-6-4371,/data4/hfxie/Dataset/Interfaces/8XXH/1/R-D-R,/data4/hfxie/Dataset/Interfaces/8XXH/1/R-D-D,8851,4371,8XXH
8XX6-1-R-1-8851,8XX6-1-D-2-5824,/data4/hfxie/Dataset/Interfaces/8XX6/1/R-D-R,/data4/hfxie/Dataset/Interfaces/8XX6/1/R-D-D,8851,5824,8XX6
8IC0-1-A-1-8851,8IC0-1-C-3-4387,/data4/hfxie/Dataset/Interfaces/8IC0/1/A-C-A,/data4/hfxie/Dataset/Interfaces/8IC0/1/A-C-C,8851,4387,8IC0
8PK5-1-A-1-1777,8PK5-1-B-2-1453,/data4/hfxie/Dataset/Interfaces/8PK5/1/A-B-A,/data4/hfxie/Dataset/Interfaces/8PK5/1/A-B-B,1777,1453,8PK5
1U6G-1-A-1-7251,1U6G-1-C-3-10687,/data4/hfxie/Dataset/Interfaces/1U6G/1/A-C-A,/data4/hfxie/Dataset/Interfaces/1U6G/1/A-C-C,7251,10687,1U6G
8H3Q-1-A-1-10687,8H3Q-1-C-2-3801,/data4/hfxie/Dataset/Interfaces/8H3Q/1/A-C-A,/data4/hfxie/Dataset/Interfaces/8H3Q/1/A-C-C,10687,3801,8H3Q
8OR0-1-B-2-1501,8OR0-1-C-3-10687,/data4/hfxie/Dataset/Interfaces/8OR0/1/B-C-B,/data4/hfxie/Dataset/Interfaces/8OR0/1/B-C-C,1501,10687,8OR0
4A0C-2-B-1-10687,4A0C-2-D-3-9896,/data4/hfxie/Dataset/Interfaces/4A0C/2/B-D-B,/data4/hfxie/Dataset/Interfaces/4A0C/2/B-D-D,10687,9896,4A0C
8OR0-1-C-3-10687,8OR0-1-D-4-8364,/data4/hfxie/Dataset/Interfaces/8OR0/1/C-D-C,/data4/hfxie/Dataset/Interfaces/8OR0/1/C-D-D,10687,8364,8OR0
1UDI-1-E-1-6904,1UDI-1-I-2-10404,/data4/hfxie/Dataset/Interfaces/1UDI/1/E-I-E,/data4/hfxie/Dataset/Interfaces/1UDI/1/E-I-I,6904,10404,1UDI
2UUG-2-B-1-4529,2UUG-2-D-2-10404,/data4/hfxie/Dataset/Interfaces/2UUG/2/B-D-B,/data4/hfxie/Dataset/Interfaces/2UUG/2/B-D-D,4529,10404,2UUG
6LYD-1-A-1-3575,6LYD-1-I-2-10404,/data4/hfxie/Dataset/Interfaces/6LYD/1/A-I-A,/data4/hfxie/Dataset/Interfaces/6LYD/1/A-I-I,3575,10404,6LYD
4LYL-9-O-1-428,4LYL-9-P-2-10404,/data4/hfxie/Dataset/Interfaces/4LYL/9/O-P-O,/data4/hfxie/Dataset/Interfaces/4LYL/9/O-P-P,428,10404,4LYL
2ZHX-4-G-1-5585,2ZHX-4-H-2-10404,/data4/hfxie/Dataset/Interfaces/2ZHX/4/G-H-G,/data4/hfxie/Dataset/Interfaces/2ZHX/4/G-H-H,5585,10404,2ZHX
7TI8-1-D-4-578,7TI8-1-E-5-3559,/data4/hfxie/Dataset/Interfaces/7TI8/1/D-E-D,/data4/hfxie/Dataset/Interfaces/7TI8/1/D-E-E,578,3559,7TI8
8TW8-1-4-1-6756,8TW8-1-3-2-7411,/data4/hfxie/Dataset/Interfaces/8TW8/1/4-3-4,/data4/hfxie/Dataset/Interfaces/8TW8/1/4-3-3,6756,7411,8TW8
7TI8-1-C-3-7411,7TI8-1-D-4-578,/data4/hfxie/Dataset/Interfaces/7TI8/1/C-D-C,/data4/hfxie/Dataset/Interfaces/7TI8/1/C-D-D,7411,578,7TI8
1SXJ-1-A-1-7069,1SXJ-1-C-3-7411,/data4/hfxie/Dataset/Interfaces/1SXJ/1/A-C-A,/data4/hfxie/Dataset/Interfaces/1SXJ/1/A-C-C,7069,7411,1SXJ
9PET-1-B-2-6756,9PET-1-E-5-3559,/data4/hfxie/Dataset/Interfaces/9PET/1/B-E-B,/data4/hfxie/Dataset/Interfaces/9PET/1/B-E-E,6756,3559,9PET
8TW8-1-4-1-6756,8TW8-1-2-3-578,/data4/hfxie/Dataset/Interfaces/8TW8/1/4-2-4,/data4/hfxie/Dataset/Interfaces/8TW8/1/4-2-2,6756,578,8TW8
8RBO-1-C-3-12525,8RBO-1-K-8-8103,/data4/hfxie/Dataset/Interfaces/8RBO/1/C-K-C,/data4/hfxie/Dataset/Interfaces/8RBO/1/C-K-K,12525,8103,8RBO
4QIW-1-C-3-12525,4QIW-1-E-5-897,/data4/hfxie/Dataset/Interfaces/4QIW/1/C-E-C,/data4/hfxie/Dataset/Interfaces/4QIW/1/C-E-E,12525,897,4QIW
8ORQ-1-B-2-373,8ORQ-1-C-3-12525,/data4/hfxie/Dataset/Interfaces/8ORQ/1/B-C-B,/data4/hfxie/Dataset/Interfaces/8ORQ/1/B-C-C,373,12525,8ORQ
8ORQ-1-A-1-9155,8ORQ-1-C-3-12525,/data4/hfxie/Dataset/Interfaces/8ORQ/1/A-C-A,/data4/hfxie/Dataset/Interfaces/8ORQ/1/A-C-C,9155,12525,8ORQ
4QIW-2-M-3-12525,4QIW-2-S-7-3931,/data4/hfxie/Dataset/Interfaces/4QIW/2/M-S-M,/data4/hfxie/Dataset/Interfaces/4QIW/2/M-S-S,12525,3931,4QIW
8ORQ-1-D-4-6399,8ORQ-1-N-9-2396,/data4/hfxie/Dataset/Interfaces/8ORQ/1/D-N-D,/data4/hfxie/Dataset/Interfaces/8ORQ/1/D-N-N,6399,2396,8ORQ
4QIW-2-J-2-373,4QIW-2-O-4-6399,/data4/hfxie/Dataset/Interfaces/4QIW/2/J-O-J,/data4/hfxie/Dataset/Interfaces/4QIW/2/J-O-O,373,6399,4QIW
4QJV-2-C-1-6399,4QJV-2-D-2-2768,/data4/hfxie/Dataset/Interfaces/4QJV/2/C-D-C,/data4/hfxie/Dataset/Interfaces/4QJV/2/C-D-D,6399,2768,4QJV
4QIW-1-D-4-6399,4QIW-1-P-11-2620,/data4/hfxie/Dataset/Interfaces/4QIW/1/D-P-D,/data4/hfxie/Dataset/Interfaces/4QIW/1/D-P-P,6399,2620,4QIW
8P2I-1-N-10-2396,8P2I-1-P-11-2620,/data4/hfxie/Dataset/Interfaces/8P2I/1/N-P-N,/data4/hfxie/Dataset/Interfaces/8P2I/1/N-P-P,2396,2620,8P2I
8ORQ-1-B-2-373,8ORQ-1-P-11-2620,/data4/hfxie/Dataset/Interfaces/8ORQ/1/B-P-B,/data4/hfxie/Dataset/Interfaces/8ORQ/1/B-P-P,373,2620,8ORQ
8P2I-1-A-1-9155,8P2I-1-B-2-373,/data4/hfxie/Dataset/Interfaces/8P2I/1/A-B-A,/data4/hfxie/Dataset/Interfaces/8P2I/1/A-B-B,9155,373,8P2I
4QIW-2-I-1-9155,4QIW-2-S-7-3931,/data4/hfxie/Dataset/Interfaces/4QIW/2/I-S-I,/data4/hfxie/Dataset/Interfaces/4QIW/2/I-S-S,9155,3931,4QIW
8RBO-1-A-1-9155,8RBO-1-L-9-2768,/data4/hfxie/Dataset/Interfaces/8RBO/1/A-L-A,/data4/hfxie/Dataset/Interfaces/8RBO/1/A-L-L,9155,2768,8RBO
4QIW-2-I-1-9155,4QIW-2-T-8-8103,/data4/hfxie/Dataset/Interfaces/4QIW/2/I-T-I,/data4/hfxie/Dataset/Interfaces/4QIW/2/I-T-T,9155,8103,4QIW
8ORQ-1-A-1-9155,8ORQ-1-E-5-897,/data4/hfxie/Dataset/Interfaces/8ORQ/1/A-E-A,/data4/hfxie/Dataset/Interfaces/8ORQ/1/A-E-E,9155,897,8ORQ
6KF4-1-A-1-9155,6KF4-1-G-12-4304,/data4/hfxie/Dataset/Interfaces/6KF4/1/A-G-A,/data4/hfxie/Dataset/Interfaces/6KF4/1/A-G-G,9155,4304,6KF4
4QIW-1-B-2-373,4QIW-1-N-10-2396,/data4/hfxie/Dataset/Interfaces/4QIW/1/B-N-B,/data4/hfxie/Dataset/Interfaces/4QIW/1/B-N-N,373,2396,4QIW
7OQY-1-N-11-2396,7OQY-1-P-12-383,/data4/hfxie/Dataset/Interfaces/7OQY/1/N-P-N,/data4/hfxie/Dataset/Interfaces/7OQY/1/N-P-P,2396,383,7OQY
4QJF-1-A-1-897,4QJF-1-B-2-13006,/data4/hfxie/Dataset/Interfaces/4QJF/1/A-B-A,/data4/hfxie/Dataset/Interfaces/4QJF/1/A-B-B,897,13006,4QJF
4QIW-2-J-2-373,4QIW-2-R-6-13006,/data4/hfxie/Dataset/Interfaces/4QIW/2/J-R-J,/data4/hfxie/Dataset/Interfaces/4QIW/2/J-R-R,373,13006,4QIW
4QIW-2-J-2-373,4QIW-2-Q-5-897,/data4/hfxie/Dataset/Interfaces/4QIW/2/J-Q-J,/data4/hfxie/Dataset/Interfaces/4QIW/2/J-Q-Q,373,897,4QIW
4QIW-1-B-2-373,4QIW-1-L-9-2768,/data4/hfxie/Dataset/Interfaces/4QIW/1/B-L-B,/data4/hfxie/Dataset/Interfaces/4QIW/1/B-L-L,373,2768,4QIW
8ORQ-1-E-5-897,8ORQ-1-K-10-8103,/data4/hfxie/Dataset/Interfaces/8ORQ/1/E-K-E,/data4/hfxie/Dataset/Interfaces/8ORQ/1/E-K-K,897,8103,8ORQ
5VMM-1-C-1-6035,5VMM-1-E-3-5713,/data4/hfxie/Dataset/Interfaces/5VMM/1/C-E-C,/data4/hfxie/Dataset/Interfaces/5VMM/1/C-E-E,6035,5713,5VMM
3SZK-2-A-1-6035,3SZK-2-C-3-16,/data4/hfxie/Dataset/Interfaces/3SZK/2/A-C-A,/data4/hfxie/Dataset/Interfaces/3SZK/2/A-C-C,6035,16,3SZK
9BCJ-1-A-1-6035,9BCJ-1-C-3-3431,/data4/hfxie/Dataset/Interfaces/9BCJ/1/A-C-A,/data4/hfxie/Dataset/Interfaces/9BCJ/1/A-C-C,6035,3431,9BCJ
8VYL-1-C-1-6035,8VYL-1-F-3-4425,/data4/hfxie/Dataset/Interfaces/8VYL/1/C-F-C,/data4/hfxie/Dataset/Interfaces/8VYL/1/C-F-F,6035,4425,8VYL
6TB2-1-A-1-6035,6TB2-1-C-3-3663,/data4/hfxie/Dataset/Interfaces/6TB2/1/A-C-A,/data4/hfxie/Dataset/Interfaces/6TB2/1/A-C-C,6035,3663,6TB2
7XEY-1-A-1-5569,7XEY-1-B-2-6378,/data4/hfxie/Dataset/Interfaces/7XEY/1/A-B-A,/data4/hfxie/Dataset/Interfaces/7XEY/1/A-B-B,5569,6378,7XEY
7XGF-1-A-1-11701,7XGF-1-C-2-6634,/data4/hfxie/Dataset/Interfaces/7XGF/1/A-C-A,/data4/hfxie/Dataset/Interfaces/7XGF/1/A-C-C,11701,6634,7XGF
7U05-1-g-6-6376,7U05-1-h-7-4977,/data4/hfxie/Dataset/Interfaces/7U05/1/g-h-g,/data4/hfxie/Dataset/Interfaces/7U05/1/g-h-h,6376,4977,7U05
3CUE-2-I-3-6376,3CUE-2-K-4-4606,/data4/hfxie/Dataset/Interfaces/3CUE/2/I-K-I,/data4/hfxie/Dataset/Interfaces/3CUE/2/I-K-K,6376,4606,3CUE
7E8T-1-L-1-3526,7E8T-1-D-10-6376,/data4/hfxie/Dataset/Interfaces/7E8T/1/L-D-L,/data4/hfxie/Dataset/Interfaces/7E8T/1/L-D-D,3526,6376,7E8T
7E8T-1-A-9-1315,7E8T-1-C-11-4606,/data4/hfxie/Dataset/Interfaces/7E8T/1/A-C-A,/data4/hfxie/Dataset/Interfaces/7E8T/1/A-C-C,1315,4606,7E8T
7KMT-1-I-4-4606,7KMT-1-K-6-3479,/data4/hfxie/Dataset/Interfaces/7KMT/1/I-K-I,/data4/hfxie/Dataset/Interfaces/7KMT/1/I-K-K,4606,3479,7KMT
7E8T-1-L-1-3526,7E8T-1-C-11-4606,/data4/hfxie/Dataset/Interfaces/7E8T/1/L-C-L,/data4/hfxie/Dataset/Interfaces/7E8T/1/L-C-C,3526,4606,7E8T
7U05-1-i-5-4606,7U05-1-j-8-10955,/data4/hfxie/Dataset/Interfaces/7U05/1/i-j-i,/data4/hfxie/Dataset/Interfaces/7U05/1/i-j-j,4606,10955,7U05
